graph_index,graph_id,matching_n_customers,matching_n_drivers,matching_max_flow,matching_ford_fulkerson_seconds,matching_coverage_pct,matching_avg_customers_per_driver,matching_avg_drivers_per_customer,scheduling_seed,scheduling_E_max,scheduling_P_penalty,scheduling_B_min,scheduling_B_max,scheduling_I_idle,scheduling_D_delay,scheduling_S_min,scheduling_S_max,scheduling_S_mean,scheduling_H_min,scheduling_H_max,scheduling_H_mean,scheduling_U_min,scheduling_U_max,scheduling_U_mean,scheduling_R_min,scheduling_R_max,scheduling_R_mean,scheduling_objective,conflict_objective,conflict_chosen_strategy,conflict_obj_lowest_index,conflict_obj_load_asc,conflict_obj_load_desc,conflict_obj_conflicts_asc,conflict_obj_conflicts_desc,conflict_resolve_seconds_lowest_index,conflict_resolve_seconds_load_asc,conflict_resolve_seconds_load_desc,conflict_resolve_seconds_conflicts_asc,conflict_resolve_seconds_conflicts_desc,scheduling_total_delay,scheduling_n_assigned,scheduling_n_unassigned,scheduling_total_idle,scheduling_drivers_used,scheduling_max_driver_load,scheduling_avg_load_per_used_driver,scheduling_seconds,conflict_seconds,total_seconds
0,1,1000,200,4280.0,1.8082398751284927,100.0,21.4,4.28,1,15.0,300.0,10.0,60.0,1.0,1.0,0.34947570647885673,59.94155293943625,30.486705202572104,240.03457460159845,597.9599525364323,410.70835137886456,2.3787611321274493,598.1025149589491,292.9190414798959,5.051421076615496,29.994778590077228,17.709678119840813,147703.8461944111,163541.0693883313,load_desc,165967.8154629184,167448.8906569257,163541.0693883313,164476.65868192093,165295.38843741707,1.931212916970253,2.0185167090967298,1.8271002499386668,1.99713912489824,1.780561791965738,1642.0931484336054,674,326,64098.97623989768,166,13,4.0602409638554215,1.297347208019346,2.5578352918382734,3.8551824998576194
0,2,6000,100,25469.0,65.41457954212092,100.0,254.69,4.244833333333333,2,15.0,300.0,10.0,60.0,1.0,1.0,0.4071279888889756,58.91300059170592,28.772347722347916,240.25336278776385,596.8481508312773,410.8967841485885,0.1617507107707361,599.9856403920575,298.1752961242627,5.001553216637157,29.998952161951117,17.543950258327417,1464529.5926506543,1288770.0963805092,load_desc,1291974.4668508137,1290106.3252935589,1288770.0963805092,1290549.0149848766,1290866.8192079435,85.22760004200973,104.23214245797135,97.7629654170014,73.67941283318214,85.06387529196218,6914.181697078784,1789,4211,18555.914683430503,100,29,17.89,7.471616792026907,104.77166866604239,112.2432854580693
0,3,6000,110,25470.0,62.55079983314499,100.0,231.54545454545453,4.245,3,15.0,300.0,10.0,60.0,1.0,1.0,0.08940501053017025,58.40761648598476,30.16644811571846,240.77882483587408,591.5095724278094,391.5969350782116,0.02277301468713855,599.8632046559622,298.7571115729958,5.004360291423805,29.99928330432945,17.46178958082844,1454909.1742742334,1280674.8661593439,lowest_index,1280674.8661593439,1282419.025435623,1280736.9063468538,1281124.7997571623,1281351.1679117267,69.00671154190786,53.75932970899157,68.33292208309285,53.38940574997105,63.28643466695212,7039.191466829624,1818,4182,19035.674692514094,110,29,16.527272727272727,5.341092125046998,69.4771359579172,74.8182280829642
0,4,6000,120,25511.0,62.41958216694184,100.0,212.59166666666667,4.251833333333333,4,15.0,300.0,10.0,60.0,1.0,1.0,0.492829220186648,59.049179995867284,31.737615377103303,240.23348176073614,595.8083210364262,418.85191124434374,0.09869226484129356,599.951100932472,301.3066598089581,5.001110077755034,29.987293331841755,17.50645083888997,1408721.6539434858,1209450.2836195226,load_asc,1211552.0689506207,1209450.2836195226,1209565.3567355317,1210987.2119485445,1210926.849037862,79.48640754213557,68.75542587507516,67.15032854187302,70.01817708299495,72.30432854196988,8408.118979043466,2069,3931,21742.164640478983,120,27,17.241666666666667,5.5761903340462595,79.96647116588429,85.54266149993055
0,5,6000,130,25581.0,63.910597417037934,100.0,196.77692307692308,4.2635,5,15.0,300.0,10.0,60.0,1.0,1.0,0.05518734665194591,59.95056690390429,30.90085639804168,240.52202628037753,597.9334684595508,416.4720964182149,0.1303550888074767,599.9930212112024,301.1864157270182,5.000034003143548,29.999347341285873,17.35631538802698,1383363.7704680513,1171029.3420354754,lowest_index,1171029.3420354754,1172750.7001770781,1173845.6326464245,1171697.6895070206,1171879.1033449995,69.44620995782316,66.40062375017442,76.77797470800579,63.25509308301844,72.45571187487803,8430.222656014339,2202,3798,23199.119379461077,130,29,16.93846153846154,5.754740957869217,77.32455741683953,83.07929837470874
0,6,6000,140,25516.0,64.88249458302744,100.0,182.25714285714287,4.252666666666666,6,15.0,300.0,10.0,60.0,1.0,1.0,0.31878951765772934,59.75832961364601,32.34771508143925,241.3312822895252,598.2748057798957,413.32068580244305,0.07275307724050606,599.9973711770344,296.481423603899,5.0145191046532105,29.99291058758063,17.48649628775744,1365300.4302489466,1146004.6768660403,conflicts_desc,1148058.1352888416,1147450.4166965985,1147308.2381696128,1147679.8267239388,1146004.6768660403,58.54608691716567,66.6544012920931,62.87652604212053,70.14500783313997,62.9296338330023,8801.063822983566,2290,3710,24203.613043056794,140,26,16.357142857142858,5.431709666037932,70.73985695792362,76.17156662396155
0,7,6000,150,25627.0,64.33092612493783,100.0,170.84666666666666,4.271166666666667,7,15.0,300.0,10.0,60.0,1.0,1.0,0.2240545231245572,59.73001700606356,30.556879625751954,243.44321050567834,597.3232080417532,416.40735900161906,0.05164802812136493,599.913538112413,303.58500372784374,5.0164189588960335,29.985773135998354,17.432736758921326,1329482.150258386,1102725.705635226,conflicts_asc,1104747.6030799442,1104119.2901081669,1105433.5247503745,1102725.705635226,1105262.6965246703,62.91153891594149,53.97222091606818,64.5824980828911,62.376564249861985,62.86535224993713,9159.125454905505,2442,3558,26166.58018032061,150,28,16.28,4.800142457941547,65.14107841602527,69.94122087396681
0,8,7000,100,29805.0,85.66854595812038,100.0,298.05,4.257857142857143,8,15.0,300.0,10.0,60.0,1.0,1.0,1.0069231394670441,59.32641592038925,27.10900920939402,244.2796560212324,583.7676074646266,415.00781381456443,0.0722380459136529,599.6472758534846,303.11954273027493,5.003390952121421,29.993310936385907,17.621593514034956,1757766.9363345357,1575498.6515942158,lowest_index,1575498.6515942158,1577380.8380182157,1576015.6268964258,1575711.8361257517,1576457.084142015,138.20321883400902,120.38549200003035,141.2434683330357,132.59056541603059,147.5834886250086,6959.781709801159,1835,5165,19038.869884414577,100,28,18.35,8.621893082978204,148.22710675001144,156.84899983298965
0,9,7000,110,29887.0,87.62470675003715,100.0,271.7,4.269571428571428,9,15.0,300.0,10.0,60.0,1.0,1.0,0.33756304076357546,59.2644448136746,31.413274087794342,241.23516239918513,597.6594036245085,404.5957415350675,0.04048243160226228,599.9861925806673,298.05298203293984,5.005449355517848,29.999462044124265,17.45555397464318,1742669.4111970523,1547311.0901941522,conflicts_asc,1547872.4764012964,1548097.1813612748,1548014.095967366,1547311.0901941522,1548861.502502741,100.7569940420799,98.80816975003108,124.33341466705315,119.5772697920911,103.74639308312908,7803.380495929459,1935,5065,20007.709698222847,110,27,17.59090909090909,7.275989749934524,124.87149320798926,132.14748295792378
0,10,7000,120,29644.0,85.5758162077982,100.0,247.03333333333333,4.234857142857143,10,15.0,300.0,10.0,60.0,1.0,1.0,0.7822459257015768,59.22745631340563,29.217459952015943,243.63895097454113,593.6621167824112,423.42986068267396,0.04318865687913398,599.9097788490667,298.1448882417366,5.002747314478957,29.993238857892315,17.58132898933488,1681673.874686448,1481577.380466889,conflicts_asc,1482087.3095576738,1482338.682326683,1481928.2186516924,1481577.380466889,1482856.3156172673,77.03151516593061,117.5493357910309,118.51519704191014,91.60303704091348,120.55192745802924,8567.653555687133,2165,4835,22509.726911201917,120,28,18.041666666666668,7.330322084017098,121.18750583310612,128.5178279171232
